city,year,total_budget_cr,monitoring_stations,ev_subsidy_cr,green_cover_cr,public_transport_cr,industrial_control_cr,awareness_programs_cr
Delhi,2020,505.5,15,100.3,73.7,145.2,115.5,48.6
Delhi,2021,544.1,18,106.9,86.6,174.2,135.0,54.6
Delhi,2022,610.5,24,118.7,89.9,186.0,153.0,60.0
Delhi,2023,761.7,27,157.3,114.1,232.0,194.6,75.4
Delhi,2024,797.6,31,157.3,124.3,244.5,200.9,79.1
Bangalore,2020,273.5,16,53.0,42.5,75.8,77.5,27.4
Bangalore,2021,347.2,21,68.0,53.6,97.1,94.2,35.3
Bangalore,2022,400.8,25,81.0,55.1,109.0,88.7,37.7
Bangalore,2023,419.2,26,86.5,67.0,130.6,103.5,42.0
Bangalore,2024,440.5,25,94.7,67.2,128.1,120.0,46.8
Mumbai,2020,429.2,17,87.9,63.7,133.8,110.2,41.6
Mumbai,2021,422.5,21,83.8,65.5,131.0,113.1,42.7
Mumbai,2022,498.1,19,100.1,71.9,142.0,115.0,49.8
Mumbai,2023,546.4,24,105.1,83.1,160.9,137.4,56.5
Mumbai,2024,616.4,27,121.0,95.6,188.0,158.1,63.5
Chennai,2020,248.0,17,55.0,40.3,70.6,70.3,25.8
Chennai,2021,318.7,22,64.6,44.1,93.8,67.7,29.7
Chennai,2022,301.8,21,62.2,45.6,87.0,76.2,33.3
Chennai,2023,354.4,22,69.8,50.4,101.2,84.4,36.2
Chennai,2024,396.5,25,79.8,64.5,121.4,95.2,40.4
Kolkata,2020,212.6,17,41.0,33.7,56.5,54.1,21.6
Kolkata,2021,228.6,20,45.2,33.7,66.6,48.3,23.3
Kolkata,2022,240.3,23,54.1,36.9,70.3,66.6,26.5
Kolkata,2023,267.8,22,58.7,41.9,93.9,65.2,27.8
Kolkata,2024,321.5,30,62.9,44.1,84.9,83.8,30.5
Hyderabad,2020,286.5,18,57.3,42.4,82.6,64.1,26.1
Hyderabad,2021,350.5,21,69.7,51.1,92.1,78.2,35.1
Hyderabad,2022,350.3,24,78.4,58.3,106.7,89.4,36.9
Hyderabad,2023,422.9,25,82.7,58.9,117.4,104.7,40.9
Hyderabad,2024,473.9,25,93.9,70.2,143.0,112.9,47.1
